Date,Open,High,Low,Close,Volume
2015-06-05,40750,40750,40100,40100,574923
2015-06-08,40000,41050,40000,40950,384223
2015-06-09,40600,41100,40400,40800,475487
2015-06-10,41200,42200,40850,42100,1117594
2015-06-11,42100,42750,41550,42200,1509236
2015-06-12,42200,42250,41050,41600,736785
2015-06-15,41550,41550,40750,40800,447498
2015-06-16,40500,40900,40150,40150,901961
2015-06-17,40150,40750,40000,40450,900810
2015-06-18,40450,40850,40050,40150,602465
2015-06-19,40250,40400,40000,40000,656860
2015-06-22,39900,40450,39900,40250,426894
2015-06-23,40350,41800,40200,40800,895824
2015-06-24,41050,41550,40950,41450,710636
2015-06-25,41450,41750,40500,40500,893046
2015-06-26,41100,42300,40600,41600,1106679
2015-06-29,40850,41750,40350,41750,1281512
2015-06-30,41550,41800,41150,41550,847365
2015-07-01,41500,41850,41150,41200,890300
2015-07-02,40900,41000,40200,40250,1501067
2015-07-03,40500,40600,40100,40200,834087
2015-07-06,39900,39900,39100,39200,1053814
2015-07-07,39050,39950,39050,39950,999141
2015-07-08,40100,40200,39200,39200,687288
2015-07-09,38950,39350,38700,39350,782834
2015-07-10,39400,39450,38900,39150,605738
2015-07-13,39600,40750,39350,40650,967376
2015-07-14,40300,41350,40300,40850,808611
2015-07-15,41200,41300,39000,39300,2124658
2015-07-16,39500,40250,39350,40100,1300060
2015-07-17,40400,40450,39300,39400,618652
2015-07-20,39100,39500,39000,39400,494845
2015-07-21,39450,40000,39450,39850,686199
2015-07-22,39600,39850,39200,39550,706737
2015-07-23,40850,40900,39800,40000,892164
2015-07-24,39800,39950,38950,39350,778611
2015-07-27,39000,40500,38750,40200,997280
2015-07-28,40400,40850,40050,40450,864363
2015-07-29,40050,40700,40050,40300,606647
2015-07-30,40500,42400,40450,42150,1616190
2015-07-31,42600,42900,41800,42000,1148015
2015-08-03,42150,42850,41700,41900,542448
2015-08-04,42700,43200,42100,42700,900196
2015-08-05,42300,42650,41400,41500,825731
2015-08-06,41850,42150,41500,41500,669398
2015-08-07,42100,42400,41500,42350,817143
2015-08-10,42300,42950,42100,42700,705810
2015-08-11,43200,43500,42850,43000,1300186
2015-08-12,43000,43400,42100,42700,876184
2015-08-13,42250,42600,41000,41000,1574072
2015-08-14,41000,41000,41000,41000,0
2015-08-17,41000,41950,40800,41300,833840
2015-08-18,41600,42900,41200,42650,1054372
2015-08-19,42300,43200,42250,42450,1008272
2015-08-20,41850,42250,41400,41950,790860
2015-08-21,41900,42350,41100,42000,1715765
2015-08-24,41450,41550,39500,40250,2098355
2015-08-25,40000,40900,38750,40200,1833270
2015-08-26,39250,39850,38700,39650,1478186
2015-08-27,39700,39850,39150,39600,1731108
2015-08-28,39800,40500,39700,40200,1475826
2015-08-31,39900,40150,39250,39550,1368360
2015-09-01,39350,39850,39350,39450,678770
2015-09-02,39000,39600,39000,39350,723931
2015-09-03,39450,39600,39050,39250,819953
2015-09-04,39250,39350,38800,39000,645157
2015-09-07,38750,39300,38750,39000,648734
2015-09-08,39150,39400,38900,39200,410753
2015-09-09,39400,40450,39300,40350,996809
2015-09-10,40000,41250,39950,41250,1236825
2015-09-11,40500,41150,40000,40800,681615
2015-09-14,40800,41100,40250,40550,620984
2015-09-15,40800,40850,40250,40500,754307
2015-09-16,40850,41950,40650,41950,1275492
2015-09-17,41950,42700,41450,42650,1676518
2015-09-18,41500,41550,40500,40950,1310254
2015-09-21,40600,41100,40400,41000,539452
2015-09-22,41000,41250,40750,41050,729056
2015-09-23,40450,41350,40300,40400,1361007
2015-09-24,40200,40600,40200,40500,542706
2015-09-25,40850,40900,40300,40450,613641
2015-09-30,40350,41400,40000,41400,1604682
2015-10-01,41700,41700,40500,41350,949485
2015-10-02,41650,41700,40700,40800,593466
2015-10-05,40900,41200,40250,40300,669181
2015-10-06,40550,41100,40550,41050,621483
2015-10-07,40550,41000,40550,40550,512254
2015-10-08,40750,41200,40400,41200,869633
2015-10-12,40900,42500,40700,42450,1634522
2015-10-13,42150,42450,41650,42000,781166
2015-10-14,42000,42350,41500,41800,478471
2015-10-15,41450,42700,41450,42300,838229
2015-10-16,42600,42650,42300,42650,634946
2015-10-19,42850,43150,42350,43000,542198
2015-10-20,43000,43500,42850,43200,791772
2015-10-21,43250,43900,43200,43850,911776
2015-10-22,44500,44600,43600,43850,947392
2015-10-23,44300,44450,43650,44250,739049
2015-10-26,44600,44750,43150,43200,891059
2015-10-27,43300,44400,43150,43750,680036
2015-10-28,42000,43650,42000,43200,675084
2015-10-29,43200,43600,42500,42600,589725
2015-10-30,43300,43800,42850,43550,1132693
2015-11-02,44500,44500,43450,44300,846358
2015-11-03,43600,44300,43550,44200,916431
2015-11-04,44600,44600,43850,44250,762366
2015-11-05,44150,44400,43550,43650,653578
2015-11-06,43700,44100,43400,43800,287372
2015-11-09,43900,44250,43450,44000,374232
2015-11-10,43550,44150,43050,43350,448814
2015-11-11,42850,43450,42350,42900,412816
2015-11-12,42500,43400,42450,42900,334573
2015-11-13,42900,43150,42150,42200,865644
2015-11-16,41100,42100,41100,41300,1187647
2015-11-17,42500,42650,41700,42100,742755
2015-11-18,42300,42750,41600,42700,530527
2015-11-19,42800,43400,42100,43350,495728
2015-11-20,42850,43350,42500,43200,463215
2015-11-23,42700,43300,42500,42600,641963
2015-11-24,42250,42850,42200,42650,656543
2015-11-25,42200,42700,42000,42300,718216
