Date,Open,High,Low,Close,Volume
2010-09-08,10960,10960,10740,10880,765800
2010-09-09,10760,10880,10760,10880,770950
2010-09-10,11000,11000,10820,10980,897150
2010-09-13,10980,11000,10820,10940,1336900
2010-09-14,11000,11000,10540,10960,2152350
2010-09-15,10900,11020,10780,10960,3027700
2010-09-16,11000,11080,10940,10980,727400
2010-09-17,11000,11160,10900,11120,2801000
2010-09-20,11100,11200,11020,11200,700300
2010-09-24,11200,11200,11060,11180,4735300
2010-09-27,11200,11200,10880,10940,1174350
2010-09-28,11000,11020,10760,10840,1515550
2010-09-29,10960,11040,10900,11000,1015950
2010-09-30,11000,11140,10960,11140,697200
2010-10-01,11180,11360,11140,11360,1298150
2010-10-04,11360,11600,11360,11600,2861100
2010-10-05,11560,11560,11460,11560,1506000
2010-10-06,11540,11820,11540,11800,1518450
2010-10-07,11600,11700,11460,11600,719700
2010-10-08,11440,11440,11160,11360,841050
2010-10-11,11280,11360,11060,11220,1027750
2010-10-12,11160,11200,10880,10940,2210950
2010-10-13,11100,11100,10920,10960,4079600
2010-10-14,11040,11120,10980,11060,774250
2010-10-15,11060,11200,11000,11200,2192600
2010-10-18,11200,11220,11020,11020,351000
2010-10-19,11040,11080,11000,11060,704150
2010-10-20,10960,11140,10960,11140,797400
2010-10-21,11200,11240,11040,11120,1555100
2010-10-22,11180,11220,11120,11200,1564600
2010-10-25,11220,11240,11160,11180,607500
2010-10-26,11180,11200,11120,11160,1137300
2010-10-27,11160,11220,11120,11140,463850
2010-10-28,11160,11280,11160,11240,542400
2010-10-29,11240,11240,10880,11060,1532000
2010-11-01,10940,11100,10940,11060,605500
2010-11-02,11200,11220,11020,11120,1041000
2010-11-03,11120,11220,11020,11160,773450
2010-11-04,11180,11560,11120,11520,1587800
2010-11-05,11680,11820,11600,11760,869850
2010-11-08,11860,11860,11760,11840,1020150
2010-11-09,11760,11900,11640,11840,903650
2010-11-10,11780,12000,11760,12000,807350
2010-11-11,11900,11960,11860,11920,572050
2010-11-12,11900,11920,11760,11900,815550
2010-11-15,11900,12040,11800,11960,1383800
2010-11-16,11980,12100,11800,11960,1419750
2010-11-17,11820,11920,11760,11840,372800
2010-11-18,11960,11960,11720,11880,896850
2010-11-19,11900,12140,11900,12080,1956400
2010-11-22,12020,12100,11960,12000,1784550
2010-11-23,12000,12080,11940,12000,1488450
2010-11-24,11640,12000,11640,11980,912900
2010-11-25,12000,12020,11780,11920,986550
2010-11-26,11940,11980,11800,11940,1102500
2010-11-29,11900,11920,11800,11800,653700
2010-11-30,11760,11880,11560,11560,3074050
2010-12-01,11700,11720,11560,11620,844700
2010-12-02,11720,12300,11680,12260,1900650
2010-12-03,12320,12600,12300,12420,2897600
2010-12-06,12520,12520,12320,12420,733650
2010-12-07,12440,12640,12300,12460,2617200
2010-12-08,12460,12520,12300,12460,1214900
2010-12-09,12500,12640,12460,12640,1549750
2010-12-10,12500,12640,12480,12600,2979950
2010-12-13,12740,12740,12580,12640,1252100
2010-12-14,12700,12880,12600,12680,1533800
2010-12-15,12640,12660,12380,12600,1193150
2010-12-16,12500,12500,12300,12300,662050
2010-12-17,12400,12520,12380,12520,576350
2010-12-20,12460,12600,12460,12600,846200
2010-12-21,12600,12680,12540,12600,826950
2010-12-22,12600,12760,12600,12680,1407950
2010-12-23,12660,12760,12640,12760,1237850
2010-12-24,12720,12760,12680,12720,678800
2010-12-27,12720,12780,12680,12720,614250
2010-12-28,12720,12920,12720,12800,770150
2010-12-29,12760,12860,12740,12820,1184950
2010-12-30,12800,13140,12800,12980,751000
2011-01-03,13060,13740,12980,13740,598450
2011-01-04,13800,13840,13580,13820,924600
2011-01-05,13540,13600,13380,13580,887200
2011-01-06,13600,13600,13260,13420,587300
2011-01-07,13100,13300,13020,13260,1180350
2011-01-10,13180,13360,13100,13260,1468700
2011-01-11,13280,13360,13080,13160,1228300
2011-01-12,13160,13260,13120,13240,1124450
2011-01-13,13360,13360,13000,13060,773400
2011-01-14,13120,13160,12860,13160,523550
2011-01-17,13240,13380,13180,13200,559100
2011-01-18,13120,13600,13000,13460,873050
2011-01-19,13480,13740,13400,13740,1388050
2011-01-20,13560,13600,13300,13460,972450
2011-01-21,13300,13460,13160,13260,722550
2011-01-24,13100,13180,12920,13100,1266900
2011-01-25,13100,13160,12940,13100,913350
2011-01-26,12940,13320,12940,13260,930450
2011-01-27,13300,13600,13260,13400,1197950
2011-01-28,13360,13600,13320,13600,793350
2011-01-31,13500,13580,13220,13300,648700
2011-02-01,13220,13340,13100,13280,1130750
2011-02-07,13300,13400,13020,13020,977600
2011-02-08,13020,13040,12680,12680,2100150
2011-02-09,12620,12680,12460,12680,2030650
2011-02-10,12520,12680,12300,12300,1470600
2011-02-11,12220,12280,12000,12080,2939950
2011-02-14,12120,12360,12120,12340,1351050
2011-02-15,12360,12480,12320,12360,1915950
2011-02-16,12360,12380,12320,12340,1244500
2011-02-17,12320,12520,12300,12440,685450
2011-02-18,12380,12440,12220,12360,1071800
2011-02-21,12420,12420,12140,12220,673200
2011-02-22,12200,12200,11920,11920,654050
2011-02-23,11860,12280,11860,12240,1581800
2011-02-24,11980,12320,11980,12240,893200
2011-02-25,12100,12220,11980,12100,853750
2011-02-28,12020,12160,11920,12140,926700
2011-03-02,12140,12220,12060,12180,1780200
2011-03-03,12200,12220,12120,12120,346700
2011-03-04,12400,12400,12120,12280,705550
2011-03-07,12240,12280,12080,12180,1020600
2011-03-08,11860,12180,11700,12140,2473850
2011-03-09,12200,12200,12080,12160,1738100
2011-03-10,12100,12100,11840,11860,1690000
2011-03-11,11780,11900,11660,11860,2705050
