Date,Open,High,Low,Close,Volume
2012-06-13,581000,591000,581000,590000,31857
2012-06-14,590000,596000,587000,594000,45889
2012-06-15,594000,600000,589000,596000,40487
2012-06-18,598000,605000,595000,600000,16564
2012-06-19,608000,610000,604000,608000,27791
2012-06-20,606000,610000,601000,608000,14275
2012-06-21,603000,610000,597000,610000,18432
2012-06-22,613000,618000,605000,610000,24280
2012-06-25,600000,613000,593000,611000,28976
2012-06-26,605000,609000,588000,589000,35269
2012-06-27,585000,603000,584000,603000,50647
2012-06-28,597000,610000,594000,610000,30308
2012-06-29,602000,620000,601000,617000,32475
2012-07-02,603000,616000,601000,613000,11355
2012-07-03,616000,625000,613000,619000,24077
2012-07-04,612000,629000,612000,615000,17467
2012-07-05,610000,621000,609000,621000,8783
2012-07-06,618000,624000,613000,623000,24669
2012-07-09,625000,625000,615000,623000,29457
2012-07-10,617000,620000,606000,612000,29999
2012-07-11,610000,625000,604000,625000,26229
2012-07-12,622000,628000,605000,605000,38094
2012-07-13,611000,617000,597000,599000,27619
2012-07-16,600000,613000,595000,610000,18043
2012-07-17,614000,617000,598000,598000,21247
2012-07-18,595000,608000,594000,608000,11515
2012-07-19,612000,618000,607000,613000,16208
2012-07-20,609000,617000,606000,617000,18262
2012-07-23,617000,617000,601000,604000,28109
2012-07-24,604000,611000,600000,605000,24193
2012-07-25,597000,602000,593000,597000,19007
2012-07-26,591000,595000,567000,571000,59627
2012-07-27,577000,577000,566000,577000,61314
2012-07-30,578000,579000,565000,572000,48984
2012-07-31,572000,585000,568000,583000,61919
2012-08-01,577000,600000,577000,600000,54789
2012-08-02,599000,600000,582000,587000,33462
2012-08-03,588000,590000,576000,580000,19586
2012-08-06,583000,591000,576000,580000,31684
2012-08-07,577000,582000,568000,575000,40668
2012-08-08,572000,586000,572000,582000,30132
2012-08-09,585000,590000,576000,590000,61782
2012-08-10,591000,591000,575000,581000,37148
2012-08-13,582000,584000,573000,577000,31971
2012-08-14,583000,587000,579000,587000,32707
2012-08-16,592000,592000,581000,589000,21565
2012-08-17,588000,604000,586000,600000,35920
2012-08-20,605000,607000,593000,603000,19664
2012-08-21,607000,610000,598000,607000,16159
2012-08-22,611000,612000,591000,596000,30561
2012-08-23,599000,610000,595000,608000,16243
2012-08-24,602000,610000,599000,604000,19636
2012-08-27,612000,623000,606000,619000,40742
2012-08-28,618000,622000,609000,620000,18250
2012-08-29,620000,630000,618000,626000,13546
2012-08-30,619000,630000,610000,630000,23716
2012-08-31,624000,633000,620000,622000,20270
2012-09-03,620000,633000,608000,629000,20810
2012-09-04,620000,622000,613000,618000,19054
2012-09-05,610000,619000,601000,611000,28630
2012-09-06,606000,607000,597000,600000,27914
2012-09-07,599000,606000,594000,601000,27111
2012-09-10,602000,605000,600000,605000,14182
2012-09-11,601000,604000,595000,598000,19895
2012-09-12,602000,624000,598000,624000,40223
2012-09-13,615000,629000,612000,621000,23040
2012-09-14,622000,634000,622000,634000,37097
2012-09-17,623000,626000,612000,612000,57884
2012-09-18,608000,615000,604000,610000,30511
2012-09-19,608000,619000,604000,615000,34463
2012-09-20,613000,627000,612000,626000,25996
2012-09-21,626000,630000,619000,625000,26925
2012-09-24,619000,627000,617000,627000,17766
2012-09-25,630000,635000,624000,635000,21425
2012-09-26,630000,636000,613000,618000,28338
2012-09-27,615000,625000,611000,622000,11666
2012-09-28,622000,635000,617000,635000,47533
2012-10-02,630000,639000,630000,638000,31168
2012-10-04,640000,654000,636000,644000,41742
2012-10-05,648000,651000,644000,645000,23036
2012-10-08,645000,652000,639000,646000,32494
2012-10-09,650000,666000,649000,655000,26883
2012-10-10,646000,654000,631000,644000,29941
2012-10-11,635000,645000,617000,628000,37179
2012-10-12,630000,664000,626000,663000,21599
2012-10-15,659000,666000,650000,666000,20632
2012-10-16,665000,665000,631000,639000,64915
2012-10-17,635000,637000,624000,630000,45487
2012-10-18,633000,643000,619000,623000,29152
2012-10-19,625000,638000,623000,635000,21918
2012-10-22,625000,653000,625000,653000,35180
2012-10-23,652000,661000,649000,653000,40961
2012-10-24,644000,656000,641000,653000,28418
2012-10-25,651000,668000,647000,655000,34152
2012-10-26,655000,659000,637000,642000,17151
2012-10-29,642000,664000,642000,662000,20321
2012-10-30,663000,664000,651000,654000,11444
2012-10-31,657000,662000,641000,641000,17298
2012-11-01,641000,655000,641000,654000,20472
2012-11-02,652000,658000,647000,656000,13315
2012-11-05,657000,662000,650000,660000,8435
2012-11-06,651000,663000,646000,650000,12932
2012-11-07,651000,654000,643000,651000,17401
2012-11-08,649000,655000,634000,641000,22804
2012-11-09,636000,646000,631000,635000,26029
2012-11-12,635000,644000,633000,633000,22661
2012-11-13,641000,644000,632000,636000,15222
2012-11-14,636000,645000,630000,644000,15602
2012-11-15,634000,636000,626000,633000,17869
2012-11-16,638000,638000,627000,629000,14942
2012-11-19,631000,644000,628000,641000,10676
2012-11-20,636000,649000,634000,645000,23755
2012-11-21,646000,660000,645000,660000,22197
2012-11-22,662000,662000,656000,659000,20145
2012-11-23,655000,665000,652000,662000,11765
2012-11-26,658000,662000,645000,646000,15103
2012-11-27,652000,669000,646000,665000,31642
2012-11-28,666000,666000,651000,655000,19122
2012-11-29,664000,667000,650000,662000,26013
2012-11-30,655000,665000,646000,646000,30180
2012-12-03,647000,651000,646000,647000,43296
2012-12-04,643000,646000,636000,640000,31260
2012-12-05,642000,647000,639000,644000,24153
2012-12-06,640000,642000,623000,623000,27191
2012-12-07,624000,631000,601000,611000,46987
2012-12-10,613000,625000,604000,623000,39062
2012-12-11,625000,628000,612000,618000,22573
2012-12-12,618000,630000,615000,630000,23443
2012-12-13,623000,630000,619000,628000,48292
2012-12-14,628000,629000,618000,622000,25559
2012-12-17,617000,628000,611000,621000,34405
2012-12-18,633000,640000,627000,639000,44013
2012-12-20,655000,655000,632000,641000,32115
2012-12-21,650000,650000,637000,637000,31223
2012-12-24,647000,647000,639000,646000,12113
2012-12-26,652000,653000,646000,652000,22815
2012-12-27,654000,659000,637000,654000,27152
2012-12-28,654000,659000,652000,657000,13859
2013-01-02,658000,658000,649000,651000,23024
2013-01-03,655000,663000,637000,643000,36507
2013-01-04,649000,649000,640000,646000,17434
2013-01-07,651000,660000,647000,659000,21752
2013-01-08,655000,693000,655000,677000,35191
2013-01-09,685000,697000,674000,685000,35825
2013-01-10,677000,685000,664000,664000,21978
2013-01-11,661000,665000,645000,650000,43406
2013-01-14,647000,655000,647000,653000,23527
2013-01-15,651000,670000,650000,668000,31930
2013-01-16,667000,670000,650000,652000,12838
2013-01-17,652000,667000,652000,660000,11446
2013-01-18,669000,673000,663000,669000,18922
2013-01-21,672000,678000,664000,665000,14820
2013-01-22,670000,670000,660000,669000,8577
2013-01-23,656000,657000,617000,619000,120476
2013-01-24,619000,621000,591000,603000,97253
2013-01-25,607000,607000,584000,590000,79807
2013-01-28,588000,593000,577000,578000,57325
2013-01-29,583000,599000,578000,588000,68017
2013-01-30,588000,606000,585000,606000,54727
2013-01-31,605000,607000,599000,607000,33960
2013-02-01,609000,610000,582000,591000,66444
2013-02-04,596000,599000,581000,595000,52402
2013-02-05,597000,602000,586000,599000,37468
2013-02-06,600000,600000,589000,589000,22478
2013-02-07,585000,600000,584000,595000,40512
2013-02-08,592000,597000,586000,588000,32563
2013-02-12,592000,595000,588000,591000,36062
2013-02-13,596000,607000,591000,607000,48515
2013-02-14,606000,606000,598000,601000,33605
2013-02-15,601000,605000,597000,604000,37791
2013-02-18,609000,611000,602000,611000,18523
2013-02-19,611000,611000,602000,608000,21196
2013-02-20,613000,620000,608000,620000,36202
2013-02-21,618000,620000,612000,612000,21824
2013-02-22,610000,618000,605000,612000,28415
2013-02-25,609000,615000,602000,612000,21429
2013-02-26,608000,612000,604000,607000,18680
2013-02-27,608000,617000,608000,617000,29397
2013-02-28,618000,623000,616000,621000,24820
2013-03-04,620000,626000,618000,624000,25575
2013-03-05,624000,627000,620000,620000,18194
2013-03-06,618000,625000,612000,622000,29405
2013-03-07,621000,621000,607000,613000,18792
2013-03-08,617000,621000,610000,621000,29813
2013-03-11,623000,631000,616000,631000,25087
2013-03-12,631000,633000,627000,632000,22190
2013-03-13,630000,632000,620000,624000,15744
2013-03-14,620000,624000,617000,622000,21902
2013-03-15,627000,630000,615000,615000,33063
2013-03-18,620000,621000,609000,610000,21204
2013-03-19,608000,617000,608000,611000,16256
2013-03-20,609000,611000,592000,592000,27156
2013-03-21,596000,599000,586000,593000,23112
2013-03-22,603000,603000,584000,588000,29829
2013-03-25,593000,600000,586000,590000,18139
2013-03-26,589000,597000,586000,597000,25983
2013-03-27,594000,600000,590000,600000,19248
2013-03-28,603000,611000,596000,611000,27376
2013-03-29,607000,616000,606000,616000,20671
2013-04-01,616000,616000,605000,607000,9552
2013-04-02,608000,609000,598000,604000,17191
2013-04-03,609000,609000,593000,594000,34238
2013-04-04,587000,590000,570000,580000,52464
2013-04-05,575000,593000,575000,591000,44733
2013-04-08,590000,590000,557000,557000,49825
2013-04-09,560000,576000,559000,576000,67325
2013-04-10,585000,593000,565000,580000,48220
2013-04-11,580000,590000,580000,590000,21863
2013-04-12,584000,589000,575000,579000,24542
2013-04-15,571000,576000,561000,568000,34576
2013-04-16,560000,582000,559000,571000,32858
2013-04-17,568000,587000,567000,575000,32189
2013-04-18,574000,591000,574000,587000,36172
2013-04-19,588000,593000,578000,590000,34595
2013-04-22,593000,600000,585000,600000,25284
2013-04-23,596000,608000,577000,607000,36312
2013-04-24,605000,619000,598000,603000,37252
2013-04-25,615000,618000,605000,609000,31223
2013-04-26,606000,613000,598000,610000,24609
2013-04-29,614000,618000,605000,615000,15031
2013-04-30,615000,620000,607000,619000,26590
2013-05-02,616000,626000,614000,623000,17969
2013-05-03,623000,623000,603000,608000,21682
2013-05-06,608000,615000,605000,613000,17553
2013-05-07,607000,615000,607000,612000,21311
2013-05-08,608000,618000,608000,612000,31287
2013-05-09,617000,629000,614000,627000,27196
2013-05-10,624000,624000,612000,616000,16423
2013-05-13,611000,625000,611000,625000,10981
2013-05-14,621000,625000,611000,621000,11221
2013-05-15,626000,626000,617000,625000,8860
2013-05-16,630000,645000,625000,640000,54646
2013-05-20,645000,646000,627000,627000,37248
2013-05-21,628000,635000,627000,632000,29888
2013-05-22,633000,641000,632000,635000,20101
2013-05-23,633000,643000,631000,640000,21299
2013-05-24,640000,640000,631000,634000,14494
2013-05-27,632000,646000,632000,643000,29094
2013-05-28,650000,650000,641000,647000,23036
2013-05-29,655000,655000,644000,648000,23243
2013-05-30,651000,652000,637000,643000,28000
2013-05-31,650000,650000,624000,624000,38656
2013-06-03,621000,634000,616000,625000,29548
2013-06-04,628000,629000,602000,607000,48976
2013-06-05,603000,606000,574000,576000,71251
2013-06-07,575000,585000,566000,582000,44573
2013-06-10,590000,605000,584000,605000,49615
2013-06-11,597000,604000,581000,584000,42010
2013-06-12,588000,593000,583000,588000,20615
2013-06-13,588000,588000,570000,575000,58165
2013-06-14,577000,585000,573000,581000,26929
2013-06-17,581000,593000,580000,586000,18279
2013-06-18,595000,595000,571000,575000,33460
2013-06-19,578000,578000,570000,572000,15661
2013-06-20,574000,574000,558000,558000,23405
2013-06-21,545000,549000,523000,530000,46771
2013-06-24,530000,539000,527000,530000,23036
